model_label,served_model_name,backend,execution_semantics,gpu_count,input_length,output_length,concurrency,trial_n,request_n,error_n,output_tok_s_mean,output_tok_s_sd,output_tok_s_cv_pct,output_tok_s_ci95_low,output_tok_s_ci95_high,output_tok_s_per_gpu,prompt_tok_s_mean,total_tok_s_mean,request_s_mean,latency_p50_s,latency_p95_s,ttft_p50_s,ttft_p95_s,tpot_p50_ms,tpot_p95_ms,service_power_mean_w,output_tok_s_per_w,energy_kwh_per_million_output_tokens,allocated_memory_peak_gib_mean
Qwen3.5-4B-HF-static,/raid/zkq/artifacts/CAPA/bench_models/Qwen3.5-4B-text-only-fp16,transformers_static_batch,two_synchronized_static_batch_waves_per_trial,1,256,128,1,5,10,0,14.328723463869597,0.13694800992651138,0.9557586219863258,14.22293036118381,14.434516566555383,14.328723463869597,28.657446927739194,42.98617039160879,0.11194315206148123,8.959117935039103,9.031877387920394,,,,,105.58679679144385,0.1357056364932809,2.046914077821161,28.923828125
Qwen3.5-4B-HF-static,/raid/zkq/artifacts/CAPA/bench_models/Qwen3.5-4B-text-only-fp16,transformers_static_batch,two_synchronized_static_batch_waves_per_trial,1,256,128,4,5,40,0,55.42401330879092,0.6783127341242705,1.2238607304474682,54.907056893657135,55.940969723924695,55.42401330879092,110.84802661758184,166.27203992637274,0.43300010397492905,9.278425918892026,9.366920193191618,,,,,130.91636302521007,0.42335436173183427,0.656135386538738,28.923828125
Qwen3.5-4B-HF-static,/raid/zkq/artifacts/CAPA/bench_models/Qwen3.5-4B-text-only-fp16,transformers_static_batch,two_synchronized_static_batch_waves_per_trial,1,256,128,16,5,160,0,207.22359318366927,2.702066879752906,1.303937856804738,205.33315276850107,209.45183291000708,207.22359318366927,414.44718636733853,621.6707795510076,1.6189343217474161,9.902219868963584,10.101556155830622,,,,,177.06853753753754,1.1703016022241615,0.237355718602675,28.923828125
Qwen3.5-4B-HF-static,/raid/zkq/artifacts/CAPA/bench_models/Qwen3.5-4B-text-only-fp16,transformers_static_batch,two_synchronized_static_batch_waves_per_trial,1,2048,128,1,5,10,0,13.788514793811448,0.16383754326039943,1.1882174817982056,13.665353154569384,13.92167621263371,13.788514793811448,220.61623670098317,234.40475149479462,0.10772277182665194,9.325043904827908,9.396277630934492,,,,,127.11999495798321,0.10846849701629509,2.560907410158431,28.923828125
Qwen3.5-4B-HF-static,/raid/zkq/artifacts/CAPA/bench_models/Qwen3.5-4B-text-only-fp16,transformers_static_batch,two_synchronized_static_batch_waves_per_trial,1,2048,128,4,5,40,0,46.33321193288307,0.34087881059749164,0.7357115908374293,46.06521440751064,46.59176680298905,46.33321193288307,741.3313909261291,787.6646028590122,0.36197821822564896,11.02980679902248,11.145909421145916,,,,,163.50370034843206,0.28337714580248263,0.9802405800621349,28.923828125
Qwen3.5-4B-HF-static,/raid/zkq/artifacts/CAPA/bench_models/Qwen3.5-4B-text-only-fp16,transformers_static_batch,two_synchronized_static_batch_waves_per_trial,1,2048,128,16,5,160,0,103.49116772133839,0.08403016910516085,0.08119549808484289,103.42689594728886,103.55543949538792,103.49116772133839,1655.8586835414142,1759.3498512627527,0.8085247478229561,19.7857205318287,19.81033531902358,,,,,231.04082191780822,0.4479345548647456,0.6201302729628732,28.923828125
Qwen3-32B,qwen3-32b-bench,vllm_openai_service,concurrent_http_requests,4,256,128,1,5,10,0,11.652866852722429,0.5082188972360828,4.3613207261297156,11.191325588803531,12.003665999455151,2.9132167131806073,23.305733705444858,34.95860055816729,0.09103802228689398,10.816158422036096,12.041323901084251,0.23075714148581028,0.24153303129132836,83.3660845010446,92.94699130004169,517.877363043784,0.02250120913614298,12.345015598810292,112.70703125
Qwen3-32B,qwen3-32b-bench,vllm_openai_service,concurrent_http_requests,4,256,128,4,5,40,0,44.28184584569122,1.0033737185170404,2.2658805191036815,43.50341886789671,45.06027282348573,11.070461461422806,88.56369169138245,132.84553753707365,0.3459519206694627,11.327992561506107,12.231891299760902,0.7259146173018962,0.7350766982650384,83.49105381355513,90.57509549746774,540.5934786875725,0.08191339257957127,3.391115531052415,112.70703125
Qwen3-32B,qwen3-32b-bench,vllm_openai_service,concurrent_http_requests,4,256,128,16,5,160,0,148.001555081518,2.517333529777071,1.7008831619306601,146.09067999097167,149.91243017206435,37.0003887703795,296.003110163036,444.00466524455396,1.1562621490743594,13.668977761175483,14.565125829936004,2.8705260308925062,2.8894168904516846,84.99801534367359,105.03941361543055,589.378884047619,0.25111445131033944,1.1061799762152538,112.70703125
Qwen3-32B,qwen3-32b-bench,vllm_openai_service,concurrent_http_requests,4,2048,128,1,5,10,0,10.532735046182438,0.160109914386424,1.5201171745458024,10.41184664856743,10.656676770087993,2.6331837615456095,168.523760738919,179.05649578510142,0.0822869925483003,11.986257290933281,12.746691277204082,1.435380021110177,1.4550474527059123,82.99591815223786,89.01369226656445,543.165779371791,0.01939138186938853,14.324805712597572,112.70703125
Qwen3-32B,qwen3-32b-bench,vllm_openai_service,concurrent_http_requests,4,2048,128,4,5,40,0,30.52249040316921,0.39370722049778006,1.2898921919454536,30.236565266499507,30.832117527350476,7.630622600792303,488.3598464507074,518.8823368538766,0.23845695627475946,16.56619841256179,17.491399588552305,5.611178439576179,5.650315217790194,86.0531585379027,93.5575826337385,575.7777917192163,0.05301088517504649,5.24001394922065,112.70703125
Qwen3-32B,qwen3-32b-bench,vllm_openai_service,concurrent_http_requests,4,2048,128,16,5,160,0,60.17069325064309,0.8226578260468188,1.3672068271176623,59.55629718582553,60.78647780430573,15.042673312660773,962.7310920102894,1022.9017852609326,0.47008354102064914,34.2867518349085,34.56466795187443,12.715406017377973,22.482891219458544,163.25209986997814,249.5884827741488,631.5024675018424,0.09528180228443453,2.9153287523734868,112.70703125
