input_length,output_length,concurrency,four_b_output_tok_s,four_b_ci95_low,four_b_ci95_high,thirty_two_b_output_tok_s,thirty_two_b_ci95_low,thirty_two_b_ci95_high,four_b_over_thirty_two_b_total_ratio,ratio_ci95_low,ratio_ci95_high,four_b_over_thirty_two_b_per_gpu_ratio,four_b_latency_p95_s,thirty_two_b_latency_p95_s,four_b_ttft_p95_s,thirty_two_b_ttft_p95_s,four_b_service_power_w,thirty_two_b_service_power_w,four_b_energy_kwh_per_million_output_tokens,thirty_two_b_energy_kwh_per_million_output_tokens
256,128,1,14.328723463869597,14.22293036118381,14.434516566555383,11.652866852722429,11.191325588803531,12.003665999455151,1.229630754814813,1.1935744506070618,1.2793864344421098,4.918523019259252,9.031877387920394,12.041323901084251,,0.24153303129132836,105.58679679144385,517.877363043784,2.046914077821161,12.345015598810292
256,128,4,55.42401330879092,54.907056893657135,55.940969723924695,44.28184584569122,43.50341886789671,45.06027282348573,1.2516193092294925,1.226464633206151,1.276684495693047,5.00647723691797,9.366920193191618,12.231891299760902,,0.7350766982650384,130.91636302521007,540.5934786875725,0.656135386538738,3.391115531052415
256,128,16,207.22359318366927,205.33315276850107,209.45183291000708,148.001555081518,146.09067999097167,149.91243017206435,1.4001447016521702,1.378305158360822,1.4246680778042615,5.600578806608681,10.101556155830622,14.565125829936004,,2.8894168904516846,177.06853753753754,589.378884047619,0.237355718602675,1.1061799762152538
2048,128,1,13.788514793811448,13.665353154569384,13.92167621263371,10.532735046182438,10.41184664856743,10.656676770087993,1.3091105713144335,1.2897027813178594,1.3291020516677947,5.236442285257734,9.396277630934492,12.746691277204082,,1.4550474527059123,127.11999495798321,543.165779371791,2.560907410158431,14.324805712597572
2048,128,4,46.33321193288307,46.06521440751064,46.59176680298905,30.52249040316921,30.236565266499507,30.832117527350476,1.5180023425635085,1.5000075075239063,1.5348735836094485,6.072009370254034,11.145909421145916,17.491399588552305,,5.650315217790194,163.50370034843206,575.7777917192163,0.9802405800621349,5.24001394922065
2048,128,16,103.49116772133839,103.42689594728886,103.55543949538792,60.17069325064309,59.55629718582553,60.78647780430573,1.7199597034762815,1.702278803726914,1.7377031919635428,6.879838813905126,19.81033531902358,34.56466795187443,,22.482891219458544,231.04082191780822,631.5024675018424,0.6201302729628732,2.9153287523734868
